year,date,median,low,high
2020,2020-01-27,5,0,19.060135282314718
2020,2020-04-08,1,0,3.881220578520002
2020,2020-08-04,2,0,6.191534512944211
2020,2020-05-27,1,0,4.618248886738328
2020,2020-11-21,2,0,6.959660719563839
2020,2020-04-24,1,0,4.002025940107133
2019,2020-10-29,5,0,19.286142991184505
2019,2020-12-22,5,0,22.917785123540853
2020,2020-04-15,1,0,3.6880095169445672
2019,2020-10-12,7,0,22.502324960479758
2020,2020-09-18,2,0,7.1468185212898625
2019,2020-04-13,8,0,26.380400825006916
2019,2020-12-26,5,0,22.18137199754048
2020,2020-10-14,2,0,7.340769575111464
2020,2020-06-11,1,0,4.899602146150194
2020,2020-02-15,6,0,20.379066498269527
2020,2020-03-16,2,0,7.826316993555493
2020,2020-03-17,2,0,7.33752176589507
2019,2020-07-16,6,0,24.29838541245824
2019,2020-08-02,7,0,26.943683145510064
2019,2020-08-26,5,0,17.85873459154042
2019,2020-09-11,7,0,24.874314295742767
2020,2020-01-04,6,0,21.391211953824815
2020,2020-02-26,6,0,28.97499810215299
2020,2020-03-15,2,0,7.120740832502589
2020,2020-04-22,1,0,4.013071917715656
2019,2020-07-10,6,0,22.50141780229678
2020,2020-08-09,1,0,4.808528154723792
2020,2020-10-03,2,0,7.548863938106737
2019,2020-01-27,5,0,15.097140168678093
2019,2020-03-23,7,0,23.08650932189037
2019,2020-06-16,5,0,17.02788353004614
2019,2020-09-18,7,0,25.543772284128305
2019,2020-10-23,6,0,21.71727541930221
2020,2020-01-23,5,0,20.081341326155727
2020,2020-02-05,5,0,18.992496304580527
2020,2020-02-19,5,0,19.009459969164503
2020,2020-03-26,1,0,4.256904805096735
2020,2020-06-19,2,0,6.217633029685078
2019,2020-07-22,5,0,19.609932357177748
2019,2020-09-29,5,0,16.605823335783413
2019,2020-12-27,6,0,25.626247127264186
2020,2020-02-25,4,0,19.73036073242483
2020,2020-11-12,2,0,6.942529644809708
2020,2020-10-19,2,0,6.998396538355643
2020,2020-06-22,2,0,6.407557060084321
2020,2020-06-13,1,0,4.771763193992517
2019,2020-07-27,6,0,21.22894355877689
2019,2020-06-27,7,0,24.283768099269334
2019,2020-07-18,6,0,24.479213562110182
2019,2020-10-02,6,0,258.6814317080889
2019,2020-11-21,6,0,22.85632302416461
2019,2020-12-30,5,0,21.173736092963107
2020,2020-01-06,5,0,19.37799922786509
2020,2020-11-09,2,0,23.670335710638543
