year,date,median,low,high
2019,2020-11-28,4,0,15.513705190573992
2020,2020-03-10,6,0,19.12683862900809
2020,2020-08-17,3,0,9.313835659003143
2020,2020-10-09,4,0,11.689232598583551
2019,2020-10-10,7,0,22.400996671919756
2019,2020-04-28,6,0,26.98934197146552
2019,2020-11-18,6,0,20.84848988449872
2020,2020-05-31,1,0,6.183276098469677
2020,2020-11-25,2,0,7.5287249233599685
2019,2020-09-20,9,0,28.038399841048722
2019,2020-02-03,5,0,23.252663170737357
2020,2020-04-21,1,0,5.013825755528734
2020,2020-05-02,1,0,6.363738783366805
2020,2020-07-24,3,0,10.240190813071758
2020,2020-08-27,3,0,9.260470544082468
2020,2020-09-14,3,0,9.724907693381041
2020,2020-05-21,2,0,7.3396338238942045
2020,2020-06-12,2,0,8.583146227787658
2019,2020-10-08,7,0,23.288912208253354
2019,2020-10-13,6,0,18.724717069707886
2019,2020-01-25,8,0,25.653185537541816
2020,2020-01-05,5,0,16.86668739237024
2020,2020-01-26,5,0,21.14999985508767
2020,2020-06-17,2,0,8.199117920318233
2020,2020-07-08,2,0,7.966440758456368
2020,2020-03-07,6,0,19.483052695986494
2019,2020-01-14,6,0,26.09164639670182
2019,2020-02-10,5,0,29.79533259648502
2019,2020-09-12,8,0,26.549918648881274
2020,2020-05-08,1,0,5.920796757641636
2020,2020-05-30,2,0,7.907823690084777
2020,2020-06-01,2,0,7.9171572743184475
2020,2020-08-24,3,0,9.426875067557205
2020,2020-09-10,3,0,9.505360419778324
2020,2020-10-22,3,0,9.686330359024296
2019,2020-09-05,8,0,25.680185913128554
2019,2020-05-28,7,0,22.07177963396058
2019,2020-01-30,6,0,29.334172860481353
2019,2020-04-07,6,0,20.521638774951732
2019,2020-08-22,7,0,21.594136844924584
2019,2020-11-26,7,0,23.380299279567982
2020,2020-11-26,1,0,5.714310718883697
2019,2020-12-19,7,0,22.326487891282376
2020,2020-03-02,6,0,20.30656997872031
2019,2020-02-23,7,0,21.018447499550124
2019,2020-08-05,7,0,22.02599585887731
2019,2020-10-17,7,0,24.304461895470457
2020,2020-03-14,4,0,13.152611521306591
2020,2020-06-16,2,0,8.100683356066138
2020,2020-07-27,3,0,9.584898683626834
2020,2020-09-28,3,0,9.287365076086706
2020,2020-10-01,3,0,9.764219401192193
2019,2020-11-16,7,0,31.225149689871703
2020,2020-08-30,2,0,7.874746020345724
2020,2020-07-07,3,0,9.65342971502162
2020,2020-10-29,3,0,8.875166070971478
2020,2020-11-10,3,0,8.977191577282365
2020,2020-09-22,3,0,9.20043921613772
2019,2020-02-01,7,0,27.613279131067493
2019,2020-02-20,6,0,21.33076290360644
2019,2020-02-28,7,0,23.310695310094534
2019,2020-06-03,7,0,22.81494832332235
2019,2020-06-05,8,0,25.58305545071672
2019,2020-09-26,7,0,23.31521556498855
2020,2020-05-13,2,0,7.043079341535643
2020,2020-05-14,2,0,7.012927124937507
2020,2020-10-02,3,0,10.226665397935689
2020,2020-03-04,6,0,19.71200757836798
2020,2020-01-22,7,0,22.92471703116877
2020,2020-05-07,2,0,7.130071056600405
2020,2020-05-12,2,0,6.992486711300219
2020,2020-05-16,1,0,6.475462932714041
2020,2020-10-21,3,0,9.457678319420594
2019,2020-12-21,7,0,23.43708212615765
2020,2020-09-21,3,0,8.615763621881257
2019,2020-06-09,6,0,19.431982653566045
2019,2020-08-15,7,0,23.29645725375777
2020,2020-03-23,1,0,5.537081980144503
2020,2020-07-19,2,0,7.8223256703204
2020,2020-07-28,3,0,9.994973861336629
2020,2020-07-31,3,0,10.538634118493079
2020,2020-08-20,3,0,10.344360529344176
2020,2020-10-25,2,0,7.833368611225216
2020,2020-11-29,2,0,7.2395264354902755
2019,2020-11-08,7,0,22.112146710015374
2020,2020-01-16,7,0,22.593379530249337
2019,2020-06-21,9,0,28.10097471901669
2019,2020-07-04,4,0,18.312591725625225
2019,2020-09-28,7,0,21.321389397431396
2019,2020-11-11,6,0,19.961898911425955
2019,2020-12-10,7,0,22.530213995539263
2020,2020-05-10,1,0,5.947590236489398
2020,2020-05-15,2,0,7.610912190019357
2020,2020-06-05,2,0,7.956772115937263
2020,2020-09-30,3,0,9.573517836189401
2020,2020-11-03,3,0,9.168575709619681
2019,2020-09-04,8,0,25.823066426008612
2019,2020-01-19,7,0,24.565385471300086
2019,2020-04-23,7,0,29.662317151354863
2019,2020-05-17,9,0,28.77824695928946
2019,2020-10-14,6,0,18.793805071732262
2020,2020-05-28,2,0,7.325243513837136
2020,2020-07-21,3,0,9.865078984942585
2019,2020-02-13,7,0,28.64072625999859
2020,2020-02-13,7,0,22.567903179082016
2019,2020-04-17,8,0,28.189710009138388
2019,2020-05-01,8,0,26.153687054477803
2019,2020-10-19,8,0,23.120558673980696
2020,2020-04-09,1,0,4.95000033264615
2020,2020-08-18,3,0,9.861728027489061
2019,2020-09-17,8,0,27.41818963482323
2020,2020-04-03,1,0,5.545281771497724
2019,2020-06-11,8,0,28.175835966409903
2019,2020-11-04,6,0,20.38234884114762
2020,2020-01-20,5,0,16.120202539460333
2020,2020-08-05,3,0,10.55063804985861
2020,2020-11-16,3,0,8.81493849426578
2019,2020-04-18,9,0,27.84470185911679
2019,2020-10-22,6,0,21.309087509801802
2020,2020-01-08,7,0,23.132309273364093
2020,2020-02-06,7,0,22.218395075283865
2020,2020-03-25,2,0,7.552939381366888
2020,2020-08-11,3,0,9.800650837522147
2019,2020-10-09,6,0,19.05209168041901
2019,2020-10-29,6,0,20.717831796445715
2020,2020-09-18,3,0,9.708876030532775
2019,2020-10-12,7,0,22.83560414868255
2019,2020-12-22,6,0,21.757090814875667
2020,2020-04-15,1,0,5.219607948756258
2019,2020-02-25,6,0,21.945516317783373
2019,2020-03-07,7,0,23.646351400165347
2019,2020-03-09,7,0,22.049463631722112
2019,2020-04-16,8,0,27.63203162385632
2019,2020-04-24,8,0,33.009822166139095
2019,2020-04-26,8,0,30.57578133235324
2019,2020-10-25,8,0,23.96621379974053
2019,2020-12-09,6,0,20.487851519499138
2020,2020-01-30,7,0,22.43564156285266
2020,2020-02-29,7,0,20.649980293649115
2020,2020-10-18,2,0,8.01233933526326
2020,2020-03-03,6,0,20.377463801602012
2019,2020-01-29,6,0,44.067355401719176
2019,2020-03-08,8,0,25.048155305872815
2019,2020-11-01,8,0,23.70224346008927
2020,2020-02-18,6,0,20.618246654558746
2020,2020-04-06,1,0,5.302717955949537
2020,2020-07-14,3,0,10.062597859153572
2019,2020-12-08,6,0,19.235918594584568
2019,2020-04-13,9,0,26.819262710184567
2019,2020-12-26,6,0,21.326400128140197
2020,2020-03-16,3,0,10.721688157276603
2020,2020-03-17,3,0,10.104503569133165
2020,2020-10-14,3,0,9.66429177758626
2020,2020-06-11,2,0,7.756042783884597
2020,2020-02-15,7,0,21.308704175847012
2019,2020-03-15,9,0,26.370781529901663
2019,2020-05-23,8,0,23.782595582995462
2019,2020-06-08,8,0,24.64101844894152
2020,2020-03-11,6,0,18.6139511248326
2020,2020-09-19,3,0,9.8372704390231
2019,2020-05-26,6,0,19.760633290927867
2019,2020-06-20,8,0,27.00018971612076
2019,2020-10-27,5,0,14.810658542971643
2019,2020-11-25,7,0,23.55657742987991
2019,2020-12-31,8,0,23.306524282948438
2020,2020-02-07,8,0,23.649009261774374
2020,2020-10-12,2,0,7.18605912885374
2020,2020-07-06,2,0,7.9832447907350605
2019,2020-02-06,6,0,36.44288869623656
2019,2020-03-03,5,0,17.82467890647692
2019,2020-06-25,7,0,24.958505050920753
2019,2020-07-30,7,0,24.02084405875763
2019,2020-11-14,7,0,21.787789105722403
2020,2020-02-09,5,0,16.868584697634546
2020,2020-10-11,2,0,8.026084917114066
2019,2020-09-08,7,0,20.928809521235006
2020,2020-04-19,1,0,4.80259543961467
2019,2020-11-07,7,0,22.342283851572606
2019,2020-01-28,7,0,46.56255284251821
2019,2020-02-22,8,0,24.65901861144979
2019,2020-03-17,6,0,18.30456526219818
2019,2020-04-22,7,0,26.807912829549917
2019,2020-06-23,6,0,23.866754001634757
2020,2020-07-20,3,0,9.327413341419186
2020,2020-07-22,3,0,9.590316997136512
